Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2000/01/02 23:52:53.70,0.1,40.8232,14.4295,1.23,Revisionato
2000/01/04 19:27:46.46,0.6,40.8152,14.4188,3.21,Revisionato
2000/01/05 18:20:17.42,1.7,40.8217,14.4148,4.12,Revisionato
2000/01/07 18:25:4.56,0.1,40.8215,14.4242,0.01,Revisionato
2000/01/07 21:32:24.94,0.4,40.8188,14.4272,2.30,Revisionato
2000/01/08 06:32:54.23,0.9,40.8238,14.4287,1.89,Revisionato
2000/01/08 17:26:16.36,1.5,40.8223,14.4255,3.11,Revisionato
2000/01/09 11:20:36.39,1.5,40.8298,14.4308,0.21,Revisionato
2000/01/09 11:31:25.59,1.2,40.8212,14.4278,2.84,Revisionato
2000/01/09 16:20:41.86,-1.0,40.8158,14.4405,3.00,Revisionato
2000/01/09 16:36:7.50,1.5,40.8188,14.4283,1.12,Revisionato
2000/01/09 18:01:58.42,0.0,40.8232,14.4223,0.25,Revisionato
2000/01/10 02:44:1.11,0.6,40.8198,14.4405,3.00,Revisionato
2000/01/10 16:10:7.45,0.7,40.8237,14.4258,1.27,Revisionato
2000/01/10 16:11:1.49,0.6,40.8230,14.4297,1.20,Revisionato
2000/01/10 16:11:1.49,1.6,40.8230,14.4297,1.20,Revisionato
2000/01/10 16:11:1.49,-0.2,40.8230,14.4297,1.20,Revisionato
2000/01/10 16:20:12.22,1.5,40.8220,14.4257,2.47,Revisionato
2000/01/10 16:25:44.15,0.4,40.8240,14.4273,2.24,Revisionato
2000/01/10 23:10:16.03,-0.2,40.8130,14.4242,0.71,Revisionato
2000/01/10 23:15:54.03,-0.4,40.8198,14.4307,3.00,Revisionato
2000/01/10 23:58:27.25,0.9,40.8205,14.4325,0.37,Revisionato
2000/01/11 02:14:45.99,0.0,40.8187,14.4263,3.18,Revisionato
2000/01/11 03:47:55.00,0.1,40.8192,14.4268,2.70,Revisionato
2000/01/11 03:54:49.02,0.0,40.8218,14.4268,2.80,Revisionato
2000/01/12 07:30:59.04,2.2,40.8217,14.4245,2.19,Revisionato
2000/01/13 04:31:49.99,0.4,40.8223,14.4272,2.68,Revisionato
2000/01/15 12:44:27.42,0.1,40.8215,14.4258,0.95,Revisionato
2000/01/15 12:46:41.29,1.5,40.8213,14.4258,2.09,Revisionato
2000/01/15 13:36:28.51,0.9,40.8253,14.4258,0.07,Revisionato
2000/01/15 15:34:40.98,1.4,40.8215,14.4308,3.24,Revisionato
2000/01/15 22:10:29.89,0.9,40.8198,14.4297,0.06,Revisionato
2000/01/17 10:21:51.94,0.0,40.8198,14.4405,4.23,Revisionato
2000/01/17 11:07:14.30,1.1,40.8265,14.4267,4.09,Revisionato
2000/01/17 14:36:55.05,0.4,40.8247,14.4242,4.28,Revisionato
2000/01/17 18:05:13.43,1.0,40.8183,14.4118,3.00,Revisionato
2000/01/17 23:37:3.14,1.5,40.8232,14.4063,1.45,Revisionato
2000/01/18 09:13:25.78,0.0,40.8215,14.4245,2.25,Revisionato
2000/01/20 15:12:23.35,0.3,40.8232,14.4278,1.61,Revisionato
2000/01/20 20:27:22.87,0.4,40.8198,14.4267,1.18,Revisionato
2000/01/22 02:18:39.69,2.1,40.8215,14.4252,2.95,Revisionato
2000/01/22 03:09:12.27,2.5,40.8213,14.4225,3.27,Revisionato
2000/01/22 03:22:27.84,0.3,40.8120,14.4243,1.66,Revisionato
2000/01/22 03:34:57.51,3.0,40.8202,14.4253,3.68,Revisionato
2000/01/22 03:40:11.12,1.7,40.8187,14.4257,3.45,Revisionato
2000/01/22 14:28:47.77,1.4,40.8185,14.4288,2.19,Revisionato
2000/01/24 11:36:20.82,1.5,40.8222,14.4293,2.98,Revisionato
2000/01/24 11:54:15.27,0.9,40.8150,14.4248,0.62,Revisionato
